pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,z,175,3,43,z,1,0.32083689980208874,None,43,3,175,3,,,,,395.0946269000415,,395.0817995001562,395.0946269000415,396.0875252999831,396.0875252999831,396.0875252999831,396.0875252999831,396.0960304001346,397.08068140014075,397.08068140014075,397.4078827002086,z,1,0.32083689980208874,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,176,0,44,x,1,0.24250980000942945,None,44,0,176,0,,,,,397.42117610014975,,397.4083785000257,397.42117610014975,398.40721000009216,398.40721000009216,398.40721000009216,398.40721000009216,398.4213364000898,399.41401890013367,399.41401890013367,399.65805430011824,x,1,0.24250980000942945,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,177,1,44,v,1,0.13475199998356402,None,44,1,177,1,,,,,399.67100970004685,,399.658523300197,399.67100970004685,400.6573077000212,400.6573077000212,400.6573077000212,400.6573077000212,400.67094009998254,401.65708480007015,401.65708480007015,401.79668970010243,v,1,0.13475199998356402,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,178,2,44,c,1,0.33638769993558526,None,44,2,178,2,,,,,401.8111058000941,,401.79721490014344,401.8111058000941,402.8028707001358,402.8028707001358,402.8028707001358,402.8028707001358,402.8173028000165,403.79622570006177,403.79622570006177,404.13727200008,c,1,0.33638769993558526,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,179,3,44,z,1,0.39396639983169734,None,44,3,179,3,,,,,404.1503064001445,,404.1378476000391,404.1503064001445,405.136640700046,405.136640700046,405.136640700046,405.136640700046,405.149854300078,406.14305200008675,406.14305200008675,406.54611240001395,z,1,0.39396639983169734,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,180,0,45,x,1,0.3194317000452429,None,45,0,180,0,,,,,406.5598458000459,,406.54659600020386,406.5598458000459,407.5456515001133,407.5456515001133,407.5456515001133,407.5456515001133,407.5541293001734,408.5462202001363,408.5462202001363,408.8728366000578,x,1,0.3194317000452429,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,181,1,45,v,1,0.24886450008489192,None,45,1,181,1,,,,,408.8865940000396,,408.87332200002857,408.8865940000396,409.87961300020106,409.87961300020106,409.87961300020106,409.87961300020106,409.8935481000226,410.8793692002073,410.8793692002073,411.13011000002734,v,1,0.24886450008489192,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,182,2,45,c,1,0.24173130001872778,None,45,2,182,2,,,,,411.1432690001093,,411.1305921000894,411.1432690001093,412.12951030000113,412.12951030000113,412.12951030000113,412.12951030000113,412.14360260008834,413.1369803000707,413.1369803000707,413.38650730019435,c,1,0.24173130001872778,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,183,3,45,z,1,0.22581890015862882,None,45,3,183,3,,,,,413.4012910001911,,413.3869252000004,413.4012910001911,414.38650110014714,414.38650110014714,414.38650110014714,414.38650110014714,414.4001140000764,415.39297980000265,415.39297980000265,415.62323900009505,z,1,0.22581890015862882,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,184,0,46,x,1,0.20491199987009168,None,46,0,184,0,,,,,415.63003310002387,,415.6234285000246,415.63003310002387,416.62446269998327,416.62446269998327,416.62446269998327,416.62446269998327,416.62446269998327,417.6224625001196,417.6224625001196,417.8323139999993,x,1,0.20491199987009168,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
150,v,185,1,46,v,1,0.2333169998601079,None,46,1,185,1,,,,,417.84418380004354,,417.8330343000125,417.84418380004354,418.83140710019507,418.83140710019507,418.83140710019507,418.83140710019507,418.84496690006927,419.8312753001228,419.8312753001228,420.07505380013026,v,1,0.2333169998601079,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
50,c,186,2,46,c,1,0.24176559993065894,None,46,2,186,2,,,,,420.08757670014165,,420.0753673000727,420.08757670014165,421.081128800055,421.081128800055,421.081128800055,421.081128800055,421.09504720009863,422.07540410012007,422.07540410012007,422.31936750002205,c,1,0.24176559993065894,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-150,z,187,3,46,z,1,0.25596239999867976,None,46,3,187,3,,,,,422.33099879999645,,422.31981910020113,422.33099879999645,423.31725150020793,423.31725150020793,423.31725150020793,423.31725150020793,423.3309229000006,424.3242930001579,424.3242930001579,424.5881638000719,z,1,0.25596239999867976,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
-50,x,188,0,47,x,1,0.21482220012694597,None,47,0,188,0,,,,,424.602039600024,,424.58863050001673,424.602039600024,425.59502440015785,425.59502440015785,425.59502440015785,425.59502440015785,425.6089368001558,426.5950002002064,426.5950002002064,426.81802650005557,x,1,0.21482220012694597,None,,,,,04,001,2025-10-02_11h26.52.613,Motor Sequential Learning,,2025.1.1,72.94887807643727,2025-10-02 11h26.58.698852 +0530,
