stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,2,1.0,76.6144030999858,,76.60908299987204,76.6144030999858,77.10062759998254,77.10062759998254,77.1075858999975,77.39194640005007,77.92132940003648,left,-1.0,1,1,0.8189747000578791,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
46,2,1.0,77.92659409996122,,77.92161859991029,77.92659409996122,78.4128999998793,78.4128999998793,78.41985450009815,78.70430399989709,79.27559589990415,left,-1.0,1,1,0.8605692000128329,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
47,2,1.0,79.28056479990482,,79.27586319996044,79.28056479990482,79.76693199994043,79.76693199994043,79.77380189998075,80.05832289997488,80.30359350005165,right,1.0,1,1,0.5343881000299007,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
48,2,1.0,80.30832479987293,,80.30383459990844,80.30832479987293,80.79454090003856,80.79454090003856,80.80142859998159,81.08591170003638,81.51755260000937,left,-1.0,1,1,0.7162376001942903,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
49,2,1.0,81.52333609992638,,81.51774760009721,81.52333609992638,82.00955650000833,82.00955650000833,82.01656570006162,82.30092529999092,82.73358229990117,left,-1.0,1,1,0.721871200017631,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
50,2,1.0,82.73817909997888,,82.73381690005772,82.73817909997888,83.22466200008057,83.22466200008057,83.23140459996648,83.51596500002779,84.11472900002263,left,-1.0,1,1,0.8837059999350458,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
51,2,1.0,84.12000519991852,,84.11497709993273,84.12000519991852,84.6063443000894,84.6063443000894,84.61328390007839,84.89756119996309,85.23145240009762,right,1.0,1,1,0.6217720001004636,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
52,2,1.0,85.23786220001057,,85.23157930001616,85.23786220001057,85.72415079991333,85.72415079991333,85.73107199999504,86.01562509988435,86.32862129993737,left,-1.0,1,1,0.6010112001094967,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
53,2,1.0,86.33479660004377,,86.32874840009026,86.33479660004377,86.82132239989005,86.82132239989005,86.82816380006261,87.11256040004082,87.28830170002766,right,1.0,1,1,0.4645436001010239,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
54,2,1.0,87.29327620007098,,87.28850729996338,87.29327620007098,87.7792996999342,87.7792996999342,87.78618369996548,88.07079649996012,88.39850999996997,right,1.0,1,1,0.6119625000283122,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
55,1,1.0,88.40413070004433,,88.39874450000934,88.40413070004433,88.89032720006071,88.89032720006071,88.89730910002254,89.18175349989906,89.60621410002932,right,1.0,0,0,0.7100216001272202,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
56,1,2.0,89.61233199993148,,89.60633039986715,89.61233199993148,90.09839090006426,90.09839090006426,90.10541670001112,90.39030369999819,90.71686109993607,left,-2.0,1,1,0.6151407998986542,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
57,1,2.0,90.72365329996683,,90.71697090007365,90.72365329996683,91.20958989998326,91.20958989998326,91.21639059996232,91.500914900098,91.87752359989099,left,-2.0,1,1,0.6614564000628889,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
58,1,2.0,91.88291219994426,,91.87776879989542,91.88291219994426,92.369050799869,92.369050799869,92.37598480004817,92.66043899999931,92.98842990002595,right,2.0,1,1,0.6138861000072211,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
59,1,1.0,92.99389029992744,,92.98866769997403,92.99389029992744,93.48009199998342,93.48009199998342,93.48687290004455,93.77139879995957,94.1902095999103,left,-1.0,1,1,0.7067582998424768,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
60,0.5,1.0,94.19490469992161,,94.19042450003326,94.19490469992161,94.6813616999425,94.6813616999425,94.68815790000372,94.97277479991317,95.67553950008005,left,-1.0,0,0,0.9905596999451518,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
61,0.5,1.5,95.68094089999795,,95.67580249998719,95.68094089999795,96.16731849987991,96.16731849987991,96.174107800005,96.45861189998686,96.78640750003979,right,1.5,1,1,0.6156054998282343,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
